date,employee_name,station_id,shift_start,shift_end,holiday_date,weather,ridership
07/01/2024,Christine Flores,STN02,6:00,14:00,,Clear,6900
07/01/2024,Thomas Baker,STN01,14:00,22:00,,Cloudy,9100
07/01/2024,Erika Ramos,STN03,22:00,6:00,,Rain,7800
07/01/2024,George Parker,STN04,6:00,14:00,,Clear,7300
07/01/2024,Marvin Cruz,STN05,14:00,22:00,,Rain,11900
08/01/2024,Olivia Carter,STN01,6:00,14:00,,Clear,8800
08/01/2024,Patrick Hill,STN02,14:00,22:00,,Cloudy,6700
08/01/2024,Janine Uy,STN03,22:00,6:00,,Rain,7600
08/01/2024,Edward Scott,STN04,6:00,14:00,,Clear,7200
08/01/2024,Sharon Lim,STN05,14:00,22:00,,Rain,11300
09/01/2024,Victor Reyes,STN02,6:00,14:00,,Cloudy,6500
09/01/2024,Isabella Moore,STN01,14:00,22:00,,Clear,9000
09/01/2024,Noel Garcia,STN03,22:00,6:00,,Rain,7700
09/01/2024,Anthony Perez,STN04,6:00,14:00,,Clear,7100
09/01/2024,Rebecca Adams,STN05,14:00,22:00,,Storm,12100
10/01/2024,Samuel Torres,STN01,6:00,14:00,,Clear,8900
10/01/2024,Julia White,STN02,14:00,22:00,,Cloudy,6800
10/01/2024,Christian Ong,STN03,22:00,6:00,,Rain,7600
10/01/2024,Laura Green,STN04,6:00,14:00,,Clear,7200
10/01/2024,Jerome Santos,STN05,14:00,22:00,,Rain,11500
11/01/2024,Daniel Cruz,STN03,22:00,6:00,,Rain,7700
11/01/2024,Emily Johnson,STN01,6:00,14:00,,Clear,8900
11/01/2024,Patrick Reyes,STN04,14:00,22:00,,Cloudy,7200
11/01/2024,Michael Smith,STN05,14:00,22:00,,Rain,11600
11/01/2024,Rowena Lim,STN02,6:00,14:00,,Cloudy,6600
12/01/2024,George Brown,STN01,14:00,22:00,,Clear,9000
12/01/2024,Janice Uy,STN03,22:00,6:00,,Rain,7800
12/01/2024,Anthony Cruz,STN04,6:00,14:00,,Clear,7200
12/01/2024,Michelle Parker,STN05,14:00,22:00,,Storm,12200
12/01/2024,Victor Santos,STN02,6:00,14:00,,Cloudy,6500
13/01/2024,Isabella Torres,STN01,6:00,14:00,,Clear,8800
13/01/2024,Noel Garcia,STN03,14:00,22:00,,Rain,7700
13/01/2024,Edward Green,STN04,22:00,6:00,,Cloudy,7100
13/01/2024,Sharon Miller,STN05,6:00,14:00,,Rain,11500
13/01/2024,Jerome Tan,STN02,14:00,22:00,,Clear,6900
14/01/2024,Laura Davis,STN01,6:00,14:00,,Clear,9000
14/01/2024,Christian Ong,STN03,14:00,22:00,,Cloudy,7500
14/01/2024,Julia White,STN04,22:00,6:00,,Rain,7800
14/01/2024,Samuel Torres,STN05,6:00,14:00,,Clear,10800
14/01/2024,Rebecca Adams,STN02,14:00,22:00,,Rain,6800
15/01/2024,Anthony Perez,STN01,6:00,14:00,,Clear,9100
15/01/2024,Grace Villanueva,STN03,14:00,22:00,,Cloudy,7400
15/01/2024,Michael Davis,STN04,22:00,6:00,,Rain,7700
15/01/2024,Christine Flores,STN05,6:00,14:00,,Clear,10900
15/01/2024,Thomas Baker,STN02,14:00,22:00,,Cloudy,6700
16/01/2024,Erika Ramos,STN01,6:00,14:00,,Clear,8800
16/01/2024,George Parker,STN03,14:00,22:00,,Rain,7600
16/01/2024,Marvin Cruz,STN04,22:00,6:00,,Storm,12000
16/01/2024,Olivia Carter,STN05,6:00,14:00,,Clear,11200
16/01/2024,Patrick Hill,STN02,14:00,22:00,,Cloudy,6900
17/01/2024,Janine Uy,STN01,6:00,14:00,,Clear,9000
17/01/2024,Edward Scott,STN03,14:00,22:00,,Cloudy,7500
17/01/2024,Sharon Lim,STN04,22:00,6:00,,Rain,7800
17/01/2024,Victor Reyes,STN05,6:00,14:00,,Rain,11800
17/01/2024,Isabella Moore,STN02,14:00,22:00,,Clear,7000
18/01/2024,Noel Garcia,STN01,6:00,14:00,,Cloudy,8700
18/01/2024,Anthony Perez,STN03,14:00,22:00,,Rain,7600
18/01/2024,Rebecca Adams,STN04,22:00,6:00,,Clear,7200
18/01/2024,Samuel Torres,STN05,6:00,14:00,,Rain,11500
18/01/2024,Julia White,STN02,14:00,22:00,,Cloudy,6800
19/01/2024,Christian Ong,STN01,6:00,14:00,,Clear,8900
19/01/2024,Laura Green,STN03,14:00,22:00,,Cloudy,7500
19/01/2024,Jerome Santos,STN04,22:00,6:00,,Rain,7700
19/01/2024,Michelle Young,STN05,6:00,14:00,,Clear,10800
19/01/2024,Andrew Lee,STN02,14:00,22:00,,Rain,6900
20/01/2024,Patricia Gomez,STN01,6:00,14:00,,Clear,9000
20/01/2024,Kevin Wilson,STN03,14:00,22:00,,Cloudy,7600
20/01/2024,Grace Villanueva,STN04,22:00,6:00,,Rain,7800
20/01/2024,Michael Davis,STN05,6:00,14:00,,Storm,12100
20/01/2024,Daniel Carter,STN02,14:00,22:00,,Clear,7000
21/01/2024,Lea Ramos,STN01,6:00,14:00,,Clear,8800
21/01/2024,Jose Tan,STN03,14:00,22:00,,Rain,7700
21/01/2024,Emily Brown,STN04,22:00,6:00,,Cloudy,7100
21/01/2024,Juan Dela Cruz,STN05,6:00,14:00,,Rain,11500
21/01/2024,Ana Santos,STN02,14:00,22:00,,Clear,6900
22/01/2024,Mark Reyes,STN01,6:00,14:00,,Clear,9000
22/01/2024,John Smith,STN03,14:00,22:00,,Cloudy,7500
22/01/2024,Paolo Chua,STN04,22:00,6:00,,Rain,7800
22/01/2024,Jessica Miller,STN05,6:00,14:00,,Clear,10800
22/01/2024,Carlos Lim,STN02,14:00,22:00,,Rain,6800
23/01/2024,Robert Johnson,STN01,6:00,14:00,,Cloudy,8700
23/01/2024,Maria Lopez,STN03,14:00,22:00,,Rain,7600
23/01/2024,Angela Torres,STN04,22:00,6:00,,Clear,7200
23/01/2024,Steven Clark,STN05,6:00,14:00,,Rain,11500
23/01/2024,Francis Cruz,STN02,14:00,22:00,,Cloudy,6700
24/01/2024,Henry Brooks,STN01,6:00,14:00,,Clear,9000
24/01/2024,Sarah Walker,STN03,14:00,22:00,,Cloudy,7500
24/01/2024,Allan Mendoza,STN04,22:00,6:00,,Rain,7800
24/01/2024,Joshua King,STN05,6:00,14:00,,Clear,10800
24/01/2024,Kimberly Evans,STN02,14:00,22:00,,Rain,6900
25/01/2024,David Harris,STN01,6:00,14:00,,Clear,8800
25/01/2024,Rowena Santos,STN03,14:00,22:00,,Rain,7700
25/01/2024,Jason Wright,STN04,22:00,6:00,,Cloudy,7100
25/01/2024,Angela Torres,STN05,6:00,14:00,,Rain,11500
25/01/2024,Steven Clark,STN02,14:00,22:00,,Clear,6900
26/01/2024,Michelle Young,STN01,6:00,14:00,,Clear,9000
26/01/2024,Andrew Lee,STN03,14:00,22:00,,Cloudy,7500
26/01/2024,Grace Villanueva,STN04,22:00,6:00,,Rain,7800
26/01/2024,Michael Davis,STN05,6:00,14:00,,Storm,12000
26/01/2024,Daniel Carter,STN02,14:00,22:00,,Clear,7000
27/01/2024,Patricia Gomez,STN01,6:00,14:00,,Clear,8800
27/01/2024,Kevin Wilson,STN03,14:00,22:00,,Rain,7700
27/01/2024,Emily Brown,STN04,22:00,6:00,,Cloudy,7100
27/01/2024,Juan Dela Cruz,STN05,6:00,14:00,,Rain,11500
27/01/2024,Ana Santos,STN02,14:00,22:00,,Clear,6900
28/01/2024,Mark Reyes,STN01,6:00,14:00,,Clear,9000
28/01/2024,John Smith,STN03,14:00,22:00,,Cloudy,7500
28/01/2024,Paolo Chua,STN04,22:00,6:00,,Rain,7800
28/01/2024,Jessica Miller,STN05,6:00,14:00,,Clear,10800
28/01/2024,Carlos Lim,STN02,14:00,22:00,,Rain,6800
29/01/2024,Robert Johnson,STN01,6:00,14:00,,Cloudy,8700
29/01/2024,Maria Lopez,STN03,14:00,22:00,,Rain,7600
29/01/2024,Angela Torres,STN04,22:00,6:00,,Clear,7200
29/01/2024,Steven Clark,STN05,6:00,14:00,,Rain,11500
29/01/2024,Francis Cruz,STN02,14:00,22:00,,Cloudy,6700
30/01/2024,Henry Brooks,STN01,6:00,14:00,,Clear,9000
30/01/2024,Sarah Walker,STN03,14:00,22:00,,Cloudy,7500
30/01/2024,Allan Mendoza,STN04,22:00,6:00,,Rain,7800
30/01/2024,Joshua King,STN05,6:00,14:00,,Clear,10800
30/01/2024,Kimberly Evans,STN02,14:00,22:00,,Rain,6900
31/01/2024,David Harris,STN01,6:00,14:00,,Clear,8800
31/01/2024,Rowena Santos,STN03,14:00,22:00,,Rain,7700
31/01/2024,Jason Wright,STN04,22:00,6:00,,Cloudy,7100
31/01/2024,Angela Torres,STN05,6:00,14:00,,Rain,11500
31/01/2024,Steven Clark,STN02,14:00,22:00,,Clear,6900
01/02/2024,Juan Dela Cruz,STN01,6:00,14:00,,Clear,9100
01/02/2024,Emily Brown,STN03,14:00,22:00,,Cloudy,7600
01/02/2024,Mark Reyes,STN02,22:00,6:00,,Rain,6900
01/02/2024,John Smith,STN05,6:00,14:00,,Rain,11800
01/02/2024,Ana Santos,STN04,14:00,22:00,,Clear,7200
02/02/2024,Maria Lopez,STN01,6:00,14:00,,Clear,9000
02/02/2024,Robert Johnson,STN02,14:00,22:00,,Cloudy,6800
02/02/2024,Paolo Chua,STN03,22:00,6:00,,Rain,7700
02/02/2024,Jessica Miller,STN04,6:00,14:00,,Clear,7100
02/02/2024,Carlos Lim,STN05,14:00,22:00,,Rain,11500
03/02/2024,Lea Ramos,STN02,6:00,14:00,,Cloudy,6500
03/02/2024,Daniel Carter,STN01,14:00,22:00,,Clear,9200
03/02/2024,Jose Tan,STN03,22:00,6:00,,Rain,7800
03/02/2024,Michael Davis,STN05,6:00,14:00,,Clear,11000
03/02/2024,Grace Villanueva,STN04,14:00,22:00,,Cloudy,7200
04/02/2024,Kevin Wilson,STN01,6:00,14:00,,Clear,8900
04/02/2024,Patricia Gomez,STN02,14:00,22:00,,Rain,6700
04/02/2024,Andrew Lee,STN03,22:00,6:00,,Cloudy,7600
04/02/2024,Michelle Young,STN04,6:00,14:00,,Clear,7200
04/02/2024,Francis Cruz,STN05,14:00,22:00,,Rain,11600
05/02/2024,Steven Clark,STN02,6:00,14:00,,Rain,6600
05/02/2024,Angela Torres,STN01,14:00,22:00,,Clear,9300
05/02/2024,Jason Wright,STN03,22:00,6:00,,Cloudy,7400
05/02/2024,Rowena Santos,STN04,6:00,14:00,,Clear,7100
05/02/2024,David Harris,STN05,14:00,22:00,,Rain,11800
06/02/2024,Kimberly Evans,STN01,6:00,14:00,,Cloudy,8700
06/02/2024,Joshua King,STN02,14:00,22:00,,Clear,7000
06/02/2024,Allan Mendoza,STN03,22:00,6:00,,Rain,7600
06/02/2024,Sarah Walker,STN04,6:00,14:00,,Clear,7200
06/02/2024,Henry Brooks,STN05,14:00,22:00,,Storm,12100
07/02/2024,Christine Flores,STN02,6:00,14:00,,Clear,6900
07/02/2024,Thomas Baker,STN01,14:00,22:00,,Cloudy,9100
07/02/2024,Erika Ramos,STN03,22:00,6:00,,Rain,7800
07/02/2024,George Parker,STN04,6:00,14:00,,Clear,7300
07/02/2024,Marvin Cruz,STN05,14:00,22:00,,Rain,11900
08/02/2024,Olivia Carter,STN01,6:00,14:00,,Clear,8800
08/02/2024,Patrick Hill,STN02,14:00,22:00,,Cloudy,6700
08/02/2024,Janine Uy,STN03,22:00,6:00,,Rain,7600
08/02/2024,Edward Scott,STN04,6:00,14:00,,Clear,7200
08/02/2024,Sharon Lim,STN05,14:00,22:00,,Rain,11300
09/02/2024,Victor Reyes,STN02,6:00,14:00,,Cloudy,6500
09/02/2024,Isabella Moore,STN01,14:00,22:00,,Clear,9000
09/02/2024,Noel Garcia,STN03,22:00,6:00,,Rain,7700
09/02/2024,Anthony Perez,STN04,6:00,14:00,,Clear,7100
09/02/2024,Rebecca Adams,STN05,14:00,22:00,,Storm,12100
10/02/2024,Samuel Torres,STN01,6:00,14:00,,Clear,8900
10/02/2024,Julia White,STN02,14:00,22:00,,Cloudy,6800
10/02/2024,Christian Ong,STN03,22:00,6:00,,Rain,7600
10/02/2024,Laura Green,STN04,6:00,14:00,,Clear,7200
10/02/2024,Jerome Santos,STN05,14:00,22:00,,Rain,11500
11/02/2024,Daniel Cruz,STN03,22:00,6:00,,Rain,7700
11/02/2024,Emily Johnson,STN01,6:00,14:00,,Clear,8900
11/02/2024,Patrick Reyes,STN04,14:00,22:00,,Cloudy,7200
11/02/2024,Michael Smith,STN05,14:00,22:00,,Rain,11600
11/02/2024,Rowena Lim,STN02,6:00,14:00,,Cloudy,6600
12/02/2024,George Brown,STN01,14:00,22:00,,Clear,9000
12/02/2024,Janice Uy,STN03,22:00,6:00,,Rain,7800
12/02/2024,Anthony Cruz,STN04,6:00,14:00,,Clear,7200
12/02/2024,Michelle Parker,STN05,14:00,22:00,,Storm,12200
12/02/2024,Victor Santos,STN02,6:00,14:00,,Cloudy,6500
13/02/2024,Isabella Torres,STN01,6:00,14:00,,Clear,8800
13/02/2024,Noel Garcia,STN03,14:00,22:00,,Rain,7700
13/02/2024,Edward Green,STN04,22:00,6:00,,Cloudy,7100
13/02/2024,Sharon Miller,STN05,6:00,14:00,,Rain,11500
13/02/2024,Jerome Tan,STN02,14:00,22:00,,Clear,6900
14/02/2024,Laura Davis,STN01,6:00,14:00,,Clear,9000
14/02/2024,Christian Ong,STN03,14:00,22:00,,Cloudy,7500
14/02/2024,Julia White,STN04,22:00,6:00,,Rain,7800
14/02/2024,Samuel Torres,STN05,6:00,14:00,,Clear,10800
14/02/2024,Rebecca Adams,STN02,14:00,22:00,,Rain,6800
15/02/2024,Anthony Perez,STN01,6:00,14:00,,Clear,9100
15/02/2024,Grace Villanueva,STN03,14:00,22:00,,Cloudy,7400
15/02/2024,Michael Davis,STN04,22:00,6:00,,Rain,7700
15/02/2024,Christine Flores,STN05,6:00,14:00,,Clear,10900
15/02/2024,Thomas Baker,STN02,14:00,22:00,,Cloudy,6700
16/02/2024,Erika Ramos,STN01,6:00,14:00,,Clear,8800
16/02/2024,George Parker,STN03,14:00,22:00,,Rain,7600
16/02/2024,Marvin Cruz,STN04,22:00,6:00,,Storm,12000
16/02/2024,Olivia Carter,STN05,6:00,14:00,,Clear,11200
16/02/2024,Patrick Hill,STN02,14:00,22:00,,Cloudy,6900
17/02/2024,Janine Uy,STN01,6:00,14:00,,Clear,9000
17/02/2024,Edward Scott,STN03,14:00,22:00,,Cloudy,7500
17/02/2024,Sharon Lim,STN04,22:00,6:00,,Rain,7800
17/02/2024,Victor Reyes,STN05,6:00,14:00,,Rain,11800
17/02/2024,Isabella Moore,STN02,14:00,22:00,,Clear,7000
18/02/2024,Noel Garcia,STN01,6:00,14:00,,Cloudy,8700
18/02/2024,Anthony Perez,STN03,14:00,22:00,,Rain,7600
18/02/2024,Rebecca Adams,STN04,22:00,6:00,,Clear,7200
18/02/2024,Samuel Torres,STN05,6:00,14:00,,Rain,11500
18/02/2024,Julia White,STN02,14:00,22:00,,Cloudy,6800
19/02/2024,Christian Ong,STN01,6:00,14:00,,Clear,8900
19/02/2024,Laura Green,STN03,14:00,22:00,,Cloudy,7500
19/02/2024,Jerome Santos,STN04,22:00,6:00,,Rain,7700
19/02/2024,Michelle Young,STN05,6:00,14:00,,Clear,10800
19/02/2024,Andrew Lee,STN02,14:00,22:00,,Rain,6900
20/02/2024,Patricia Gomez,STN01,6:00,14:00,,Clear,9000
20/02/2024,Kevin Wilson,STN03,14:00,22:00,,Cloudy,7600
20/02/2024,Grace Villanueva,STN04,22:00,6:00,,Rain,7800
20/02/2024,Michael Davis,STN05,6:00,14:00,,Storm,12100
20/02/2024,Daniel Carter,STN02,14:00,22:00,,Clear,7000
21/02/2024,Lea Ramos,STN01,6:00,14:00,,Clear,8800
21/02/2024,Jose Tan,STN03,14:00,22:00,,Rain,7700
21/02/2024,Emily Brown,STN04,22:00,6:00,,Cloudy,7100
21/02/2024,Juan Dela Cruz,STN05,6:00,14:00,,Rain,11500
21/02/2024,Ana Santos,STN02,14:00,22:00,,Clear,6900
22/02/2024,Mark Reyes,STN01,6:00,14:00,,Clear,9000
22/02/2024,John Smith,STN03,14:00,22:00,,Cloudy,7500
22/02/2024,Paolo Chua,STN04,22:00,6:00,,Rain,7800
22/02/2024,Jessica Miller,STN05,6:00,14:00,,Clear,10800
22/02/2024,Carlos Lim,STN02,14:00,22:00,,Rain,6800
23/02/2024,Robert Johnson,STN01,6:00,14:00,,Cloudy,8700
23/02/2024,Maria Lopez,STN03,14:00,22:00,,Rain,7600
23/02/2024,Angela Torres,STN04,22:00,6:00,,Clear,7200
23/02/2024,Steven Clark,STN05,6:00,14:00,,Rain,11500
23/02/2024,Francis Cruz,STN02,14:00,22:00,,Cloudy,6700
24/02/2024,Henry Brooks,STN01,6:00,14:00,,Clear,9000
24/02/2024,Sarah Walker,STN03,14:00,22:00,,Cloudy,7500
24/02/2024,Allan Mendoza,STN04,22:00,6:00,,Rain,7800
24/02/2024,Joshua King,STN05,6:00,14:00,,Clear,10800
24/02/2024,Kimberly Evans,STN02,14:00,22:00,,Rain,6900
25/02/2024,David Harris,STN01,6:00,14:00,,Clear,8800
25/02/2024,Rowena Santos,STN03,14:00,22:00,,Rain,7700
25/02/2024,Jason Wright,STN04,22:00,6:00,,Cloudy,7100
25/02/2024,Angela Torres,STN05,6:00,14:00,,Rain,11500
25/02/2024,Steven Clark,STN02,14:00,22:00,,Clear,6900
01/03/2024,Juan Dela Cruz,STN01,6:00,14:00,,Clear,9100
01/03/2024,Emily Brown,STN03,14:00,22:00,,Cloudy,7600
01/03/2024,Mark Reyes,STN02,22:00,6:00,,Rain,6900
01/03/2024,John Smith,STN05,6:00,14:00,,Rain,11800
01/03/2024,Ana Santos,STN04,14:00,22:00,,Clear,7200
02/03/2024,Maria Lopez,STN01,6:00,14:00,,Clear,9000
02/03/2024,Robert Johnson,STN02,14:00,22:00,,Cloudy,6800
02/03/2024,Paolo Chua,STN03,22:00,6:00,,Rain,7700
02/03/2024,Jessica Miller,STN04,6:00,14:00,,Clear,7100
02/03/2024,Carlos Lim,STN05,14:00,22:00,,Rain,11500
03/03/2024,Lea Ramos,STN02,6:00,14:00,,Cloudy,6500
03/03/2024,Daniel Carter,STN01,14:00,22:00,,Clear,9200
03/03/2024,Jose Tan,STN03,22:00,6:00,,Rain,7800
03/03/2024,Michael Davis,STN05,6:00,14:00,,Clear,11000
03/03/2024,Grace Villanueva,STN04,14:00,22:00,,Cloudy,7200
04/03/2024,Kevin Wilson,STN01,6:00,14:00,,Clear,8900
04/03/2024,Patricia Gomez,STN02,14:00,22:00,,Rain,6700
04/03/2024,Andrew Lee,STN03,22:00,6:00,,Cloudy,7600
04/03/2024,Michelle Young,STN04,6:00,14:00,,Clear,7200
04/03/2024,Francis Cruz,STN05,14:00,22:00,,Rain,11600
05/03/2024,Steven Clark,STN02,6:00,14:00,,Rain,6600
05/03/2024,Angela Torres,STN01,14:00,22:00,,Clear,9300
05/03/2024,Jason Wright,STN03,22:00,6:00,,Cloudy,7400
05/03/2024,Rowena Santos,STN04,6:00,14:00,,Clear,7100
05/03/2024,David Harris,STN05,14:00,22:00,,Rain,11800
06/03/2024,Kimberly Evans,STN01,6:00,14:00,,Cloudy,8700
06/03/2024,Joshua King,STN02,14:00,22:00,,Clear,7000
06/03/2024,Allan Mendoza,STN03,22:00,6:00,,Rain,7600
06/03/2024,Sarah Walker,STN04,6:00,14:00,,Clear,7200
06/03/2024,Henry Brooks,STN05,14:00,22:00,,Storm,12100
07/03/2024,Christine Flores,STN02,6:00,14:00,,Clear,6900
07/03/2024,Thomas Baker,STN01,14:00,22:00,,Cloudy,9100
07/03/2024,Erika Ramos,STN03,22:00,6:00,,Rain,7800
07/03/2024,George Parker,STN04,6:00,14:00,,Clear,7300
07/03/2024,Marvin Cruz,STN05,14:00,22:00,,Rain,11900
08/03/2024,Olivia Carter,STN01,6:00,14:00,,Clear,8800
08/03/2024,Patrick Hill,STN02,14:00,22:00,,Cloudy,6700
08/03/2024,Janine Uy,STN03,22:00,6:00,,Rain,7600
08/03/2024,Edward Scott,STN04,6:00,14:00,,Clear,7200
08/03/2024,Sharon Lim,STN05,14:00,22:00,,Rain,11300
09/03/2024,Victor Reyes,STN02,6:00,14:00,,Cloudy,6500
09/03/2024,Isabella Moore,STN01,14:00,22:00,,Clear,9000
09/03/2024,Noel Garcia,STN03,22:00,6:00,,Rain,7700
09/03/2024,Anthony Perez,STN04,6:00,14:00,,Clear,7100
09/03/2024,Rebecca Adams,STN05,14:00,22:00,,Storm,12100
10/03/2024,Samuel Torres,STN01,6:00,14:00,,Clear,8900
10/03/2024,Julia White,STN02,14:00,22:00,,Cloudy,6800
10/03/2024,Christian Ong,STN03,22:00,6:00,,Rain,7600
10/03/2024,Laura Green,STN04,6:00,14:00,,Clear,7200
10/03/2024,Jerome Santos,STN05,14:00,22:00,,Rain,11500
11/03/2024,Daniel Cruz,STN03,22:00,6:00,,Rain,7700
11/03/2024,Emily Johnson,STN01,6:00,14:00,,Clear,8900
11/03/2024,Patrick Reyes,STN04,14:00,22:00,,Cloudy,7200
11/03/2024,Michael Smith,STN05,14:00,22:00,,Rain,11600
11/03/2024,Rowena Lim,STN02,6:00,14:00,,Cloudy,6600
12/03/2024,George Brown,STN01,14:00,22:00,,Clear,9000
12/03/2024,Janice Uy,STN03,22:00,6:00,,Rain,7800
12/03/2024,Anthony Cruz,STN04,6:00,14:00,,Clear,7200
12/03/2024,Michelle Parker,STN05,14:00,22:00,,Storm,12200
12/03/2024,Victor Santos,STN02,6:00,14:00,,Cloudy,6500
13/03/2024,Isabella Torres,STN01,6:00,14:00,,Clear,8800
13/03/2024,Noel Garcia,STN03,14:00,22:00,,Rain,7700
13/03/2024,Edward Green,STN04,22:00,6:00,,Cloudy,7100
13/03/2024,Sharon Miller,STN05,6:00,14:00,,Rain,11500
13/03/2024,Jerome Tan,STN02,14:00,22:00,,Clear,6900
14/03/2024,Laura Davis,STN01,6:00,14:00,,Clear,9000
14/03/2024,Christian Ong,STN03,14:00,22:00,,Cloudy,7500
14/03/2024,Julia White,STN04,22:00,6:00,,Rain,7800
14/03/2024,Samuel Torres,STN05,6:00,14:00,,Clear,10800
14/03/2024,Rebecca Adams,STN02,14:00,22:00,,Rain,6800
15/03/2024,Anthony Perez,STN01,6:00,14:00,,Clear,9100
15/03/2024,Grace Villanueva,STN03,14:00,22:00,,Cloudy,7400
15/03/2024,Michael Davis,STN04,22:00,6:00,,Rain,7700
15/03/2024,Christine Flores,STN05,6:00,14:00,,Clear,10900
15/03/2024,Thomas Baker,STN02,14:00,22:00,,Cloudy,6700
16/03/2024,Erika Ramos,STN01,6:00,14:00,,Clear,8800
16/03/2024,George Parker,STN03,14:00,22:00,,Rain,7600
16/03/2024,Marvin Cruz,STN04,22:00,6:00,,Storm,12000
16/03/2024,Olivia Carter,STN05,6:00,14:00,,Clear,11200
16/03/2024,Patrick Hill,STN02,14:00,22:00,,Cloudy,6900
17/03/2024,Janine Uy,STN01,6:00,14:00,,Clear,9000
17/03/2024,Edward Scott,STN03,14:00,22:00,,Cloudy,7500
17/03/2024,Sharon Lim,STN04,22:00,6:00,,Rain,7800
17/03/2024,Victor Reyes,STN05,6:00,14:00,,Rain,11800
17/03/2024,Isabella Moore,STN02,14:00,22:00,,Clear,7000
18/03/2024,Noel Garcia,STN01,6:00,14:00,,Cloudy,8700
18/03/2024,Anthony Perez,STN03,14:00,22:00,,Rain,7600
18/03/2024,Rebecca Adams,STN04,22:00,6:00,,Clear,7200
18/03/2024,Samuel Torres,STN05,6:00,14:00,,Rain,11500
18/03/2024,Julia White,STN02,14:00,22:00,,Cloudy,6800
19/03/2024,Christian Ong,STN01,6:00,14:00,,Clear,8900
19/03/2024,Laura Green,STN03,14:00,22:00,,Cloudy,7500
19/03/2024,Jerome Santos,STN04,22:00,6:00,,Rain,7700
19/03/2024,Michelle Young,STN05,6:00,14:00,,Clear,10800
19/03/2024,Andrew Lee,STN02,14:00,22:00,,Rain,6900
20/03/2024,Patricia Gomez,STN01,6:00,14:00,,Clear,9000
20/03/2024,Kevin Wilson,STN03,14:00,22:00,,Cloudy,7600
20/03/2024,Grace Villanueva,STN04,22:00,6:00,,Rain,7800
20/03/2024,Michael Davis,STN05,6:00,14:00,,Storm,12100
20/03/2024,Daniel Carter,STN02,14:00,22:00,,Clear,7000
21/03/2024,Lea Ramos,STN01,6:00,14:00,,Clear,8800
21/03/2024,Jose Tan,STN03,14:00,22:00,,Rain,7700
21/03/2024,Emily Brown,STN04,22:00,6:00,,Cloudy,7100
21/03/2024,Juan Dela Cruz,STN05,6:00,14:00,,Rain,11500
21/03/2024,Ana Santos,STN02,14:00,22:00,,Clear,6900
22/03/2024,Mark Reyes,STN01,6:00,14:00,,Clear,9000
22/03/2024,John Smith,STN03,14:00,22:00,,Cloudy,7500
22/03/2024,Paolo Chua,STN04,22:00,6:00,,Rain,7800
22/03/2024,Jessica Miller,STN05,6:00,14:00,,Clear,10800
22/03/2024,Carlos Lim,STN02,14:00,22:00,,Rain,6800
23/03/2024,Robert Johnson,STN01,6:00,14:00,,Cloudy,8700
23/03/2024,Maria Lopez,STN03,14:00,22:00,,Rain,7600
23/03/2024,Angela Torres,STN04,22:00,6:00,,Clear,7200
